lfnr,krnr,agglvl,name,wkr,regbez,n206pop,n206wb,n206as,n206us,n206gs,n206dnvp,n206dvp,n206z,n206ddp,n206spd,n206uspd,n206kpd,n206bvpx,n206bbb,n206dmpx,n206ndvx,n206x,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,agg2024,agg2424,agg2428,agg2830,agg3033,agg2833,agg3032,agg3232,agg3233
1,1,5,FRIEDLAND -27/BARTENSTEIN,1,1,"41,994","22,988","18,976",386,"18,590","7,564","2,129",152,729,"5,921","1,276",813,0,0,6,0,0,"41,994","24,038","19,745",288,"19,457","8,562",862,"1,247",251,608,"5,114","2,225",0,0,260,84,244,"41,994","24,478","19,754",273,"19,481","8,441",656,"1,123",216,541,"6,563",882,0,812,52,25,170,"43,189","25,015","20,572",200,"20,372","7,137","8,818",193,"1,227","1,360",503,358,58,183,0,217,318,"42,842","25,380","19,851",68,"19,783","5,123","5,501",191,"1,994",680,259,176,"4,289",68,0,"1,390",112,"42,842","26,695","22,065",80,"21,985","6,082","8,771","3,249",195,"3,085",172,25,78,11,276,41,"42,842","26,698","20,986",67,"20,919","7,754","6,119","2,413",183,"3,516",244,61,505,14,7,103,"42,842","27,060","23,007",136,"22,871","11,966","5,359","1,423",157,"3,283",160,451,2,0,70,0,0,0,0,0,0,0,1,1,1
2,1,8,BARTENSTEIN,1,1,"7,300","4,489","3,987",86,"3,901","1,130","1,076",112,130,964,189,300,0,0,0,0,0,"7,300","4,261","3,700",57,"3,643","1,468",402,412,141,147,467,524,0,0,58,14,10,"7,300","4,674","3,996",67,"3,929","1,486",312,475,146,120,926,287,0,42,10,2,123,"7,885","5,313","4,367",32,"4,335","1,417","1,424",122,572,361,116,91,17,9,0,89,117,"7,885","5,291","4,389",12,"4,377","1,129","1,059",117,382,294,109,56,900,10,0,303,18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"7,885","5,735","4,972",30,"4,942","2,360","1,205",392,70,738,57,88,0,0,32,0,2,2,2,2,2,2,0,0,0
3,1,8,DOMNAU,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,483","1,655","1,288",4,"1,284",383,123,7,161,45,35,42,368,0,0,111,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,483","1,710","1,496",7,"1,489",824,399,113,8,103,6,32,0,0,4,0,0,0,0,6,3,6,0,0,0
4,1,8,FRIEDLAND I. OSTPR.,1,1,"3,185","1,913","1,519",74,"1,445",343,288,13,93,264,354,89,0,0,1,0,0,"3,185","2,046","1,741",45,"1,696",419,44,259,10,102,740,101,0,0,15,2,4,"3,185","1,959","1,736",21,"1,715",590,17,209,5,110,714,20,0,21,4,1,24,"3,233","2,049","1,714",10,"1,704",725,449,3,219,62,83,86,2,1,0,52,22,"3,709","2,482","2,026",10,"2,016",580,256,14,346,94,40,17,551,3,0,106,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,709","2,748","2,208",16,"2,192","1,140",562,233,13,161,39,24,0,0,20,0,4,4,4,6,4,4,0,0,0
5,1,8,SCHIPPENBEIL,1,1,"2,518","1,499","1,182",19,"1,163",296,252,0,146,422,44,0,0,0,3,0,0,"2,518","1,500","1,209",33,"1,176",654,7,130,4,69,166,117,0,0,25,1,3,"2,518","1,474","1,249",34,"1,215",700,48,127,12,56,194,48,0,24,1,1,4,"2,431","1,539","1,337",21,"1,316",307,565,7,120,145,72,43,4,4,0,26,23,"2,509","1,669","1,449",9,"1,440",254,498,11,208,53,28,10,286,0,0,69,23,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,509","1,795","1,613",6,"1,607",895,411,137,14,118,15,10,0,0,7,0,5,5,5,5,5,5,0,0,0
6,1,9,REST-FRIEDLAND -27/BARTENSTEIN,1,1,"28,991","15,087","12,288",207,"12,081","5,795",513,27,360,"4,271",689,424,0,0,2,0,0,"28,991","16,231","13,095",153,"12,942","6,021",409,446,96,290,"3,741","1,483",0,0,162,67,227,"28,991","16,371","12,773",151,"12,622","5,665",279,312,53,255,"4,729",527,0,725,37,21,19,"29,640","16,114","13,154",137,"13,017","4,688","6,380",61,316,792,232,138,35,169,0,50,156,"26,256","14,283","10,699",33,"10,666","2,777","3,565",42,897,194,47,51,"2,184",55,0,801,53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"26,256","15,072","12,718",77,"12,641","6,747","2,782",548,52,"2,163",43,297,2,0,7,0,6,6,6,6,6,6,0,0,0
7,2,5,BRAUNSBERG,1,1,"54,443","30,789","25,670",677,"24,993",926,"1,234","19,010",514,"1,534","1,392",14,0,0,369,0,0,"54,443","31,384","26,190",429,"25,761","3,895",275,"1,172","17,053",329,"1,540",757,0,0,340,98,302,"54,443","31,902","25,123",271,"24,852","3,887",197,908,"16,469",399,"1,997",434,0,356,40,23,142,"54,493","31,309","25,077",255,"24,822","4,156","3,069","14,103",953,253,434,749,71,49,0,631,354,"54,493","32,642","26,807",95,"26,712","2,579","1,092","16,670","1,122",650,161,"1,014","1,614",807,0,643,360,"54,493","34,635","28,927",106,"28,821","3,191","5,020","1,489","17,376","1,348",89,49,38,66,89,66,"54,493","34,169","26,972",119,"26,853","3,911","3,230","1,588","15,768","1,866",105,37,104,41,27,176,"54,493","33,992","29,351",142,"29,209","8,515","2,785",967,"15,277","1,420",59,120,12,0,54,0,0,0,0,0,0,0,7,7,7
8,2,8,BRAUNSBERG I. OSTPR.,1,1,"13,076","8,500","6,847",232,"6,615",410,784,"3,740",322,658,470,0,0,0,231,0,0,"13,076","8,489","6,824",184,"6,640","1,523",175,392,"3,392",150,609,188,0,0,152,19,40,"13,076","8,670","6,760",103,"6,657","1,146",116,360,"3,606",217,950,44,0,153,18,6,41,"13,893","8,438","7,159",72,"7,087","1,599",740,"3,361",480,68,208,269,19,5,0,178,160,"14,031","8,934","7,673",29,"7,644","1,391",352,"3,672",249,327,84,371,585,17,0,456,140,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"14,031","9,909","8,490",23,"8,467","2,485","1,187",275,"3,992",429,13,55,2,0,29,0,8,8,8,8,8,8,0,0,0
9,2,8,FRAUENBURG,1,1,"2,290","1,456","1,213",51,"1,162",72,13,966,4,43,57,0,0,0,7,0,0,"2,290","1,438","1,231",16,"1,215",214,6,27,892,5,40,6,0,0,16,6,3,"2,290","1,454","1,175",13,"1,162",117,29,35,874,12,75,10,0,6,2,1,1,"2,288","1,487","1,142",12,"1,130",229,80,662,17,15,23,44,6,1,0,1,52,"2,660","1,831","1,513",6,"1,507",82,88,"1,017",107,42,12,44,63,16,0,12,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,660","1,860","1,659",11,"1,648",440,177,38,952,31,4,2,0,0,4,0,9,9,9,12,9,9,0,0,0
10,2,8,MEHLSACK,1,1,"3,854","2,351","2,108",76,"2,032",7,187,"1,461",72,287,13,0,0,0,5,0,0,"3,888","2,514","2,288",20,"2,268",278,18,174,"1,476",35,182,29,0,0,46,27,3,"3,888","2,630","2,250",20,"2,230",276,22,144,"1,414",27,262,10,0,15,2,2,56,"4,305","2,595","2,089",35,"2,054",450,180,"1,034",110,23,35,80,5,0,0,119,18,"4,339","2,776","2,239",9,"2,230",296,42,"1,293",94,54,19,91,227,32,0,57,25,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,339","2,754","2,443",13,"2,430",720,315,127,"1,146",88,7,15,1,0,11,0,10,10,10,10,10,10,0,0,0
11,2,8,WORMDITT,1,1,"5,964","3,428","2,618",91,"2,527",19,160,"1,588",60,45,544,8,0,0,103,0,0,"5,964","3,537","2,873",58,"2,815",291,12,232,"1,488",88,324,339,0,0,13,18,10,"5,964","3,601","2,760",31,"2,729",359,2,168,"1,606",77,209,268,0,28,1,2,9,"6,063","3,743","3,142",29,"3,113",809,249,"1,354",134,93,76,219,3,2,0,134,40,"6,063","4,170","3,119",20,"3,099",272,121,"1,550",460,107,17,303,148,13,0,47,61,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"6,063","4,065","3,651",18,"3,633","1,091",467,307,"1,647",94,12,9,0,0,6,0,11,11,11,11,11,11,0,0,0
12,2,9,REST-BRAUNSBERG,1,1,"29,259","15,054","12,884",227,"12,657",418,90,"11,255",56,501,308,6,0,0,23,0,0,"29,225","15,406","12,974",151,"12,823","1,589",64,347,"9,805",51,385,195,0,0,113,28,246,"29,225","15,547","12,178",104,"12,074","1,989",28,201,"8,969",66,501,102,0,154,17,12,35,"27,944","15,046","11,545",107,"11,438","1,069","1,820","7,692",212,54,92,137,38,41,0,199,84,"27,400","14,931","12,263",31,"12,232",538,489,"9,138",212,120,29,205,591,729,0,71,110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"27,400","15,404","13,108",77,"13,031","3,779",639,220,"7,540",778,23,39,9,0,4,0,12,12,12,12,12,12,0,0,0
13,3,5,ELBING  L,1,1,"26,248","14,916","12,054",276,"11,778","6,248",268,"1,930",334,"1,482",763,749,0,0,4,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0
14,3,8,TOLKEMIT,1,1,"3,077","1,845","1,651",42,"1,609",96,5,985,14,53,28,427,0,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,144,0,0,0,0,0,0,0,0
15,3,9,REST-ELBING  L,1,1,"23,171","13,071","10,403",234,"10,169","6,152",263,945,320,"1,429",735,322,0,0,3,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,145,0,0,0,0,0,0,0,0
16,4,4,ELBING  S,1,1,"67,127","42,874","35,434","2,276","33,158","8,640","4,829","3,664","1,512","3,203","4,598","4,779",0,0,"1,906",0,27,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,146,0,0,0,0,0,0,0,0
17,5,5,FISCHHAUSEN,1,1,"56,567","31,709","25,100","1,360","23,740","6,744","3,961",89,"1,385","6,676","2,672","2,087",0,0,126,0,0,"56,567","33,547","26,681",342,"26,339","8,057","1,300","2,564",215,805,"6,768","4,775",0,0,"1,507",216,132,"56,567","34,201","25,963",285,"25,678","7,904",883,"2,940",180,"1,103","9,543","2,178",0,197,489,47,214,"61,448","36,775","27,554",269,"27,285","10,749","7,105",188,"3,558","2,933","1,076",342,205,121,0,250,758,"61,448","39,018","30,257",139,"30,118","8,038","4,484",183,"5,300","1,990",992,358,"5,556",350,0,"2,555",312,"61,448","49,816","41,376",163,"41,213","10,352","17,750","5,731",766,"4,538",695,18,469,63,754,77,"61,448","38,932","28,926",122,"28,804","9,294","8,517","5,371",192,"3,615",440,195,885,26,18,251,"61,448","38,803","32,270",174,"32,096","15,466","7,404","4,067",174,"3,407",251,"1,182",6,0,139,0,0,0,0,0,0,0,17,17,17
18,5,8,FISCHHAUSEN,1,1,"2,569","1,829","1,492",105,"1,387",197,409,17,166,232,0,366,0,0,0,0,0,"2,569","1,814","1,601",42,"1,559",240,14,189,22,81,319,228,0,0,453,3,10,"2,569","1,809","1,536",30,"1,506",308,18,185,24,90,486,160,0,9,211,4,11,"3,004","1,923","1,560",18,"1,542",423,292,25,296,206,106,14,41,1,0,21,117,"3,414","2,104","1,780",13,"1,767",353,129,17,259,133,118,22,421,17,0,269,29,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,410","2,250","1,893",11,"1,882",929,361,204,13,181,29,143,0,0,22,0,18,18,18,23,18,18,0,0,0
19,5,8,PILLAU,1,1,"6,559","3,542","2,840",284,"2,556",195,938,29,265,518,203,394,0,0,14,0,0,"6,559","4,062","3,138",103,"3,035",821,62,504,52,150,708,375,0,0,319,31,13,"6,559","4,001","3,163",63,"3,100",541,37,866,44,180,933,382,0,30,60,6,21,"6,893","4,307","3,298",32,"3,266",764,644,44,789,676,186,48,21,1,0,11,82,"6,893","4,256","3,344",11,"3,333",598,365,47,738,348,162,72,506,3,0,463,31,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"6,893","4,507","3,734",12,"3,722","1,882",691,494,44,339,42,208,0,0,22,0,19,19,19,19,19,19,0,0,0
20,5,8,CRANZ,1,1,"3,741","2,479","1,904",76,"1,828",528,709,11,139,254,0,171,0,0,16,0,0,"3,741","2,535","1,994",25,"1,969",714,380,270,19,83,279,179,0,0,22,14,9,"3,741","2,738","1,945",18,"1,927",701,293,251,22,127,423,74,0,29,4,0,3,"4,125","2,956","2,101",9,"2,092",544,552,20,438,48,115,69,33,0,0,149,124,"4,524","3,938","2,605",18,"2,587",427,331,24,184,360,53,55,796,9,0,299,49,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,659","3,062","2,515",22,"2,493","1,500",311,170,11,370,34,86,0,0,11,0,20,20,20,20,20,20,0,0,0
21,5,8,PALMNICKEN,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,704","1,600","1,383",1,"1,382",545,64,8,331,44,75,11,56,0,0,235,13,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,704","1,573","1,365",2,"1,363",292,639,149,8,100,6,159,1,0,9,0,0,0,0,23,21,23,0,0,0
22,5,8,RAUSCHEN,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,123","1,855","1,564",12,"1,552",331,291,16,43,227,67,9,476,1,0,67,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,123","1,396","1,218",10,"1,208",669,201,57,17,210,22,27,1,0,4,0,0,0,0,23,22,23,0,0,0
23,5,9,REST-FISCHHAUSEN,1,1,"43,698","23,859","18,864",895,"17,969","5,824","1,905",32,815,"5,672","2,469","1,156",0,0,96,0,0,"43,698","25,136","19,948",172,"19,776","6,282",844,"1,601",122,491,"5,462","3,993",0,0,713,168,100,"43,698","25,653","19,319",174,"19,145","6,354",535,"1,638",90,706,"7,701","1,562",0,129,214,37,179,"47,426","27,589","20,595",210,"20,385","9,018","5,617",99,"2,035","2,003",669,211,110,119,0,69,435,"41,790","25,265","19,581",84,"19,497","5,784","3,304",71,"3,745",878,517,189,"3,301",320,0,"1,222",166,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"41,659","26,015","21,545",117,"21,428","10,194","5,201","2,993",81,"2,207",118,559,4,0,71,0,23,23,23,23,23,23,0,0,0
24,6,5,GERDAUEN,1,1,"34,528","18,755","14,969",367,"14,602","4,136","1,207",29,"1,276","7,516",90,320,0,0,28,0,0,"34,528","19,947","15,923",130,"15,793","6,210",517,828,84,647,"6,325",855,0,0,181,67,79,"34,528","19,621","15,302",174,"15,128","5,593",531,778,39,510,"7,110",286,0,130,78,13,60,"35,558","19,504","15,353",153,"15,200","6,581","5,330",42,847,901,507,129,312,287,0,80,184,"35,493","19,746","15,473",65,"15,408","5,978","2,785",38,"1,265",403,279,80,"3,430",115,0,906,129,"35,493","20,775","17,420",76,"17,344","6,792","6,710","1,747",62,"1,440",67,8,120,20,341,37,"35,493","20,610","16,172",67,"16,105","5,589","6,078","1,716",48,"1,879",131,117,417,20,8,102,"35,493","20,724","17,875",131,"17,744","8,915","5,125","1,069",47,"2,122",61,332,4,0,69,0,0,0,0,0,0,0,24,24,24
25,6,8,GERDAUEN,1,1,"2,910","1,838","1,612",16,"1,596",288,355,5,211,714,2,19,0,0,2,0,0,"2,910","1,864","1,646",36,"1,610",576,168,186,6,98,534,25,0,0,10,2,5,"2,910","1,950","1,709",14,"1,695",577,190,211,6,70,580,27,0,7,10,0,17,"4,831","2,629","2,233",14,"2,219",948,675,15,269,40,105,34,98,0,0,14,21,"4,339","2,837","2,478",18,"2,460",857,354,16,194,131,73,27,612,19,0,160,17,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"4,339","2,934","2,699",24,"2,675","1,314",702,140,17,335,10,129,1,0,27,0,25,25,27,27,25,25,0,0,0
26,6,8,NORDENBURG,1,1,"2,323","1,466","1,163",86,"1,077",83,251,7,283,291,0,162,0,0,0,0,0,"2,323","1,480","1,038",17,"1,021",377,34,124,7,126,303,29,0,0,20,0,1,"2,323","1,471","1,113",13,"1,100",398,42,164,7,99,356,19,0,6,7,0,2,"2,743","1,758","1,363",23,"1,340",489,331,8,224,93,89,21,27,2,0,23,33,"2,743","1,759","1,482",7,"1,475",525,157,3,57,54,49,9,436,0,0,180,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"2,743","1,851","1,652",13,"1,639",914,432,95,7,149,7,23,1,0,11,0,26,26,26,26,26,26,0,0,0
27,6,9,REST-GERDAUEN,1,1,"29,295","15,451","12,194",265,"11,929","3,765",601,17,782,"6,511",88,139,0,0,26,0,0,"29,295","16,603","13,239",77,"13,162","5,257",315,518,71,423,"5,488",801,0,0,151,65,73,"29,295","16,200","12,480",147,"12,333","4,618",299,403,26,341,"6,174",240,0,117,61,13,41,"27,984","15,117","11,757",116,"11,641","5,144","4,324",19,354,768,313,74,187,285,0,43,130,"28,411","15,150","11,513",40,"11,473","4,596","2,274",19,"1,014",218,157,44,"2,382",96,0,566,107,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"28,411","15,939","13,524",94,"13,430","6,687","3,991",834,23,"1,638",44,180,2,0,31,0,27,27,27,27,27,27,0,0,0
28,7,5,HEILIGENBEIL,1,1,"43,944","23,706","19,310",454,"18,856","8,550","1,537",282,741,"6,174",704,796,0,0,72,0,0,"43,944","24,945","20,029",264,"19,765","10,597",919,785,345,417,"5,105","1,212",0,0,253,53,79,"43,944","25,045","20,269",204,"20,065","11,134",552,818,281,408,"5,982",551,0,144,40,25,130,"43,946","25,054","20,923",169,"20,754","6,922","10,346",336,973,583,404,271,103,59,0,316,441,"43,946","25,981","20,522",89,"20,433","5,231","7,019",405,"1,401",637,243,358,"3,438",131,0,"1,362",208,"43,946","27,330","22,248",122,"22,126","5,971","8,986","2,415",354,"3,698",140,17,86,37,374,48,"43,946","26,848","20,463",96,"20,367","6,780","5,784","2,058",322,"4,504",178,59,501,31,13,137,"43,946","27,032","23,375",146,"23,229","11,873","5,026","1,221",289,"4,194",112,466,7,0,41,0,0,0,0,0,0,0,28,28,28
29,7,8,HEILIGENBEIL,1,1,"4,705","2,836","2,454",61,"2,393",713,387,84,151,934,115,7,0,0,2,0,0,"4,705","3,069","2,674",50,"2,624","1,099",264,134,100,95,815,94,0,0,19,3,1,"4,705","3,124","2,696",16,"2,680","1,197",181,145,104,81,908,34,0,5,3,1,21,"5,147","3,180","2,849",17,"2,832",911,"1,194",124,196,81,60,74,21,3,0,72,96,"5,147","3,399","2,945",14,"2,931",766,679,131,303,140,43,131,458,15,0,227,38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"5,147","3,415","3,095",24,"3,071","1,297",692,239,108,612,26,84,1,0,12,0,29,29,29,29,29,29,0,0,0
30,7,8,ZINTEN,1,1,"3,662","2,070","1,684",72,"1,612",441,394,46,164,167,136,198,0,0,66,0,0,"3,662","2,084","1,827",89,"1,738","1,030",43,131,26,41,117,275,0,0,57,6,12,"3,662","2,040","1,848",19,"1,829","1,132",21,193,27,64,138,225,0,2,8,7,12,"3,549","2,224","1,910",24,"1,886",265,870,52,226,251,103,63,2,0,0,31,23,"3,518","2,348","2,001",10,"1,991",146,491,68,315,115,68,22,534,0,0,194,38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"3,518","2,588","2,287",12,"2,275","1,319",179,344,33,326,11,47,0,0,16,0,30,30,30,30,30,30,0,0,0
31,7,9,REST-HEILIGENBEIL,1,1,"35,577","18,800","15,172",321,"14,851","7,396",756,152,426,"5,073",453,591,0,0,4,0,0,"35,577","19,792","15,528",125,"15,403","8,468",612,520,219,281,"4,173",843,0,0,177,44,66,"35,577","19,881","15,725",169,"15,556","8,805",350,480,150,263,"4,936",292,0,137,29,17,97,"35,250","19,650","16,164",128,"16,036","5,746","8,282",160,551,251,241,134,80,56,0,213,322,"35,281","20,234","15,576",65,"15,511","4,319","5,849",206,783,382,132,205,"2,446",116,0,941,132,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,"35,281","21,029","17,993",110,"17,883","9,257","4,155",638,148,"3,256",75,335,6,0,13,0,31,31,31,31,31,31,0,0,0
